disease,placebo_magnitude,endpoint_subjectivity,effect_size_uncertainty,confidence,basis
"Lung Disease, Interstitial",30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Induction of Labor Affected Fetus / Newborn,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Tuberculosis; Tuberculous Meningitis; Drug-Induced Liver Injury; HIV; IRIS,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Pain; Traumatic Limb Injury,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
"Brachial Plexus Block; Pain, Postoperative",75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Post Partum Haemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Obstetrical Complications; Hemorrhage; Labor and Delivery,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Perioperative Bleeding; Venous Thrombosis; Arterial Thrombosis,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Tranexamic Acid,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Insomnia; End Stage Renal Disease,60,80,67,med,"Sleep/insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
Acute Myocardial Infarction; Left Ventricular Thrombosis; Anticoagulants and Bleeding Disorders,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
GIST,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Stomach Neoplasms,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
CDKL5 deficiency disorder,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Induction of Labor Affected Fetus / Newborn; Rupture of Membranes Prior to Onset of Labor,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Advanced Hepatocellular Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Pulmonary Arterial Hypertension; Chronic Thromboembolic Pulmonary Hypertension,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Advanced Esophageal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Urinary Symptoms in Parkinson Disease,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
filariasis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Therapy of Premature Ventricular Contractions in Patients With Structural Heart Disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Atrial Fibrillation; End-stage Kidney Disease,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Secondary Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Painful Diabetic Peripheral Neuropathy (PDPN),22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
"Muscular Dystrophy, Duchenne; Muscular Dystrophies; Muscular Disorders, Atrophic; Muscular Diseases; Musculoskeletal Disease; Neuromuscular Diseases; Nervous System Diseases; Genetic Diseases, X-Linked; Genetic Diseases, Inborn",75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Participants With Higher-Risk Myelodysplastic Syndrome,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
hyperuricemia,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
Myelodysplastic Syndromes,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Healthcare-associated Pneumonia (HCAP); Hospital Acquired Pneumonia (HAP); Ventilator Associated Pneumonia (VAP),20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
pancreatic cancer,15,20,22,high,"Pancreatic cancer: objective OS/PFS endpoints, minimal placebo"
gonorrhea,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Methicillin-Resistant Staphylococcus Aureus; Bacterial Infections; Staphylococcal Skin Infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Type II; Diabetes,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Chronic Heart Failure With Reduced Ejection Fraction (HFrEF),25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Fuchs' endothelial dystrophy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Schizophrenia; Schizophreniform Disorders; Bipolar I Disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Acute Leukemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Globus,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Acute Mountain Sickness,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Parkinson' Disease,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Organ Preservation in Rectal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Advanced Rectal Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Tourette Syndrome,55,75,62,med,"Neuro symptomatic (functional/QoL-driven): moderate-high placebo, rating-scale/patient-reported endpoint"
Treatment of the Depressive Episode in Participants With Bipolar I Disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
stroke,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
NAFLD - Nonalcoholic Fatty Liver Disease,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Thromboembolism,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
aspergillosis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Community Acquired Bacterial Pneumonia,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Glaucoma,45,60,49,med,"Symptomatic eye (dry eye/uveitis): notable placebo, mix of patient-reported + clinical signs"
Pain Management After Surgery,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Heartburn; Gastroesophageal Reflux Disease,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
threatened miscarriage,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Chronic Heart Failure With Reduced Ejection Fraction,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Complicated Intra-abdominal Infections; Complicated Appendicitis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Atrophic Vaginitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Hypercholesterolemia; Familial Hypercholesterolemia,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
primary biliary cirrhosis,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
"Trypanosomiasis, African; Sleeping Sickness; Trypanosomiasis; Gambian",45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
androgenetic alopecia,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Psychotic Disorders; Personality Disorders; Clinical High Risk,55,80,65,med,"Psychotic-spectrum: subjective clinician-rated symptom scales (PANSS/BPRS), moderate placebo"
Urinary Bladder Neoplasms,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Metastatic Urothelial Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Carcinoma, Pancreatic Ductal",15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Congenital Adrenal Hyperplasia,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
"Ehlers-Danlos Syndrome, Vascular Type",30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Tuberculosis; HIV,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Hypercholesterolemia; Atherosclerosis; Statin Adverse Reaction,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
alcohol use disorder,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Hypercholesterolemia in Coronaory Heart Disease,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Graft-versus-host Disease (GVHD),25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
Gastroesophageal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Peripheral Artery Disease; Atherosclerosis; Artery Diseases, Peripheral; Plaque, Atherosclerotic; Occlusive Arterial Disease",25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Cervical Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Gastrointestinal Hemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
urinary retention,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Advanced Pancreatic Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Prostate Cancer Metastatic,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Cystic Fibrosis Pulmonary Exacerbation,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
postoperative ileus,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
General Anaesthesia,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Extended Antithrombotic Prophylaxis After Laparoscopic Surgery for Colorectal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Atrial Fibrillation; Periodontal Disease; Hemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Cerebral Vein Thrombosis,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Noonan Syndrome,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Bicuspid Aortic Valve,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Renal Cell Carcinoma (RCC),15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Coronary Artery Disease; Myocardial Ischemia; Myocardial Infarction; Stent Thrombosis; Cardiovascular Diseases,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
leiomyosarcoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
diabeTes,22,22,25,high,"Diabetes: objective HbA1c biomarker endpoint, small placebo drift"
Disease Progression in Chronic Obstructive Pulmonary Disease,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Duchenne muscular dystrophy,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Chronic Graft Versus Host Disease,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
Medication-assisted Treatment of Opioid Use Disorder,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Pulpitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Muscle Relaxation,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Non-melanoma Skin Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Congestive heart failure,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Symptomatic Aortic Stenosis; Eligible for Transcatheter Aortic Valve Replacement,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Sickle Cell Anemia,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
